date	YYYYWW	CTREND
2015-04-17	201516	-0.019727416
2015-04-24	201517	0.035646123
2015-05-01	201518	-0.017187458
2015-05-08	201519	-0.151576287
2015-05-15	201520	0.433964079
2015-05-22	201521	0.071005102
2015-05-29	201522	-0.154568672
2015-06-05	201523	-0.001195537
2015-06-12	201524	-0.220051255
2015-06-19	201525	0.090648209
2015-06-26	201526	0.140043899
2015-07-03	201527	0.55710114
2015-07-10	201528	-0.197727424
2015-07-17	201529	0.093113613
2015-07-24	201530	-0.050171649
2015-07-31	201531	-0.00416183
2015-08-07	201532	-0.019566452
2015-08-14	201533	0.081718746
2015-08-21	201534	-0.016391031
2015-08-28	201535	-0.031409992
2015-09-04	201536	-0.106591233
2015-09-11	201537	0.166532387
2015-09-18	201538	-0.022077205
2015-09-25	201539	0.114913197
2015-10-02	201540	0.064711722
2015-10-09	201541	0.139453829
2015-10-16	201542	0.14263998
2015-10-23	201543	-0.057345122
2015-10-30	201544	0.270434077
2015-11-06	201545	-0.116436913
2015-11-13	201546	0.118504127
2015-11-20	201547	-0.117210319
2015-11-27	201548	0.054625101
2015-12-04	201549	-0.005120356
2015-12-11	201550	-0.157676102
2015-12-18	201551	0.027470643
2015-12-25	201552	-0.081434741
2016-01-08	201601	0.072255436
2016-01-15	201602	0.475712806
2016-01-22	201603	0.23861059
2016-01-29	201604	0.281785491
2016-02-05	201605	-0.043353845
2016-02-12	201606	0.767206929
2016-02-19	201607	-0.211603198
2016-02-26	201608	0.364686792
2016-03-04	201609	0.601490095
2016-03-11	201610	0.167456727
2016-03-18	201611	-0.038012331
2016-03-25	201612	0.031553263
2016-04-01	201613	-0.119936385
2016-04-08	201614	-0.110167084
2016-04-15	201615	-0.05203694
2016-04-22	201616	0.075840796
2016-04-29	201617	0.086369433
2016-05-06	201618	-0.046994208
2016-05-13	201619	0.022754552
2016-05-20	201620	0.375746123
2016-05-27	201621	-0.115428417
2016-06-03	201622	0.008027433
2016-06-10	201623	-0.044634481
2016-06-17	201624	-0.128491154
2016-06-24	201625	-0.112637454
2016-07-01	201626	0.433634166
2016-07-08	201627	-0.004066083
2016-07-15	201628	-0.003671261
2016-07-22	201629	-0.084733608
2016-07-29	201630	-0.04235226
2016-08-05	201631	0.11917765
2016-08-12	201632	0.016998596
2016-08-19	201633	0.139522402
2016-08-26	201634	0.159028666
2016-09-02	201635	0.256432777
2016-09-09	201636	-0.026826643
2016-09-16	201637	-0.18423382
2016-09-23	201638	-0.118992663
2016-09-30	201639	0.163777899
2016-10-07	201640	-0.117202554
2016-10-14	201641	0.143098314
2016-10-21	201642	0.009796606
2016-10-28	201643	-0.004643746
2016-11-04	201644	0.125986973
2016-11-11	201645	-0.093936597
2016-11-18	201646	0.064685042
2016-11-25	201647	-0.016949438
2016-12-02	201648	0.062851348
2016-12-09	201649	0.083632406
2016-12-16	201650	0.063815051
2016-12-23	201651	0.171004236
2016-12-30	201652	-0.107595856
2017-01-06	201701	-0.059451285
2017-01-13	201702	-0.082824852
2017-01-20	201703	0.00513792
2017-01-27	201704	0.028181801
2017-02-03	201705	0.081984827
2017-02-10	201706	-0.027707129
2017-02-17	201707	0.04918963
2017-02-24	201708	0.042091027
2017-03-03	201709	0.117161766
2017-03-10	201710	-0.020319834
2017-03-17	201711	0.379237833
2017-03-24	201712	0.341709205
2017-03-31	201713	-0.017959414
2017-04-07	201714	0.093244709
2017-04-14	201715	0.062430922
2017-04-21	201716	-0.005288041
2017-04-28	201717	0.111596604
2017-05-05	201718	0.49528942
2017-05-12	201719	0.691129351
2017-05-19	201720	0.469721023
2017-05-26	201721	0.016414069
2017-06-02	201722	-0.141931204
2017-06-09	201723	-0.147559999
2017-06-16	201724	0.045933147
2017-06-23	201725	-0.105233635
2017-06-30	201726	-0.132491373
2017-07-07	201727	0.045695848
2017-07-14	201728	0.059999474
2017-07-21	201729	-0.611102189
2017-07-28	201730	0.081218067
2017-08-04	201731	-0.018041032
2017-08-11	201732	0.102800082
2017-08-18	201733	0.180729315
2017-08-25	201734	-0.225594392
2017-09-01	201735	-0.083398001
2017-09-08	201736	0.122222824
2017-09-15	201737	0.001510543
2017-09-22	201738	3.75E-05
2017-09-29	201739	-0.172154459
2017-10-06	201740	0.128257835
2017-10-13	201741	0.304966311
2017-10-20	201742	0.039439887
2017-10-27	201743	-0.118231272
2017-11-03	201744	0.272290439
2017-11-10	201745	-0.148382318
2017-11-17	201746	-0.00789208
2017-11-24	201747	0.136059852
2017-12-01	201748	-0.039575336
2017-12-08	201749	0.331106513
2017-12-15	201750	-0.276998778
2017-12-22	201751	0.207296892
2017-12-29	201752	0.286476385
2018-01-05	201801	0.300385262
2018-01-12	201802	-0.153883916
2018-01-19	201803	0.024608406
2018-01-26	201804	0.133456564
2018-02-02	201805	0.02133942
2018-02-09	201806	-0.058109251
2018-02-16	201807	-0.016569325
2018-02-23	201808	-0.040810472
2018-03-02	201809	0.100909701
2018-03-09	201810	-0.01048614
2018-03-16	201811	0.091510502
2018-03-23	201812	-0.195639927
2018-03-30	201813	0.040878166
2018-04-06	201814	-0.007264068
2018-04-13	201815	0.105470983
2018-04-20	201816	0.121040248
2018-04-27	201817	-0.07235171
2018-05-04	201818	-0.115644034
2018-05-11	201819	0.00020581
2018-05-18	201820	0.010313035
2018-05-25	201821	0.026653071
2018-06-01	201822	-0.052475644
2018-06-08	201823	0.051389179
2018-06-15	201824	0.03175584
2018-06-22	201825	0.111383192
2018-06-29	201826	-0.025283738
2018-07-06	201827	0.042020876
2018-07-13	201828	0.016423206
2018-07-20	201829	0.061652941
2018-07-27	201830	0.092443085
2018-08-03	201831	0.070361526
2018-08-10	201832	-0.037157211
2018-08-17	201833	-0.030287043
2018-08-24	201834	0.032681427
2018-08-31	201835	0.041086254
2018-09-07	201836	0.067391707
2018-09-14	201837	-0.082145497
2018-09-21	201838	-0.115253949
2018-09-28	201839	-0.010650813
2018-10-05	201840	-0.066379361
2018-10-12	201841	0.085457197
2018-10-19	201842	-0.032421444
2018-10-26	201843	0.041720516
